Category,Item,Calories,Price
Breakfast - Egg Sandwiches,Cheddar on Plain Bagel,,$4.99
Breakfast - Egg Sandwiches,Spinach Mushroom Swiss,,$5.39
Breakfast - Smart Choice,Bagel Thin Ham Melt,,$5.39
Breakfast - Egg Wrap,Santa Fe Turkey-Sausage,,$5.39
Bagels,Bagel,,$1.29
Bagels,Bagel with Butter,,$2.79
Bagels,Bagel with Cream Cheese,,$2.79
Lunch - Signature Sandwiches,Club Mex Wrap,,$7.49
Lunch - Deli Sandwiches,Chicken Salad,,$7.29
Lunch - Hot Sandwiches,Italian Chicken,,$7.99
Lunch - Favorites,Original Bagel Dog,,$4.99
Lunch - Thintastic Eggwhites,"Asparagus, Mushroom & Swiss",,$5.29
Lunch - Sides,Yogurt Parfait,,$2.99
Lunch - Sides,Fresh Baked Cookie,,$1.79
Lunch - Group,Bagels and Shmears Nosh Box,,$34.99
Drinks,Coffee to Go Serves 10,,$18.99
Drinks,Large Coffee 20 oz,,$3.29
Sweets,Cookie,,$1.79
Sweets,Muffin,,$2.69
